SK_FATO_META;ID_META_ORIGEM;SK_TEMPO;SK_LOJA;SK_CANALVENDA;SK_PRODUTO;SK_CATEGORIA;SK_MARCA;ANO;MES;ANO_MES;TIPO_META;META_FATURAMENTO_BRUTO;META_FATURAMENTO_LIQUIDO;META_QTD_VENDAS;META_QTD_ITENS;META_TICKET_MEDIO;META_MARGEM_BRUTA;META_PERCENTUAL_MARGEM;DATA_INICIO_META;DATA_FIM_META;FL_META_ATIVA;DATA_CARGA;DATA_ATUALIZACAO_DW
11;MET00000011;20250101;1;2;;1;;2025;1;2025-01;MISTA;57320.75;55294.52;1727.6145;2688.7261;32.01;19319.34;34.939;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
12;MET00000012;20250101;1;2;;2;;2025;1;2025-01;MISTA;89844.6;80278.11;2484.8109;6427.3918;32.31;15566.19;19.3903;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
13;MET00000013;20250101;1;2;;3;;2025;1;2025-01;MISTA;35252.04;32787.49;2922.6752;5876.6261;11.22;9889.8;30.1633;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
14;MET00000014;20250101;1;2;;4;;2025;1;2025-01;MISTA;95798.88;89625.83;2404.8926;4440.8589;37.27;18614.49;20.7691;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
15;MET00000015;20250101;1;2;;5;;2025;1;2025-01;MISTA;120730.11;109188.74;2756.4044;4627.7571;39.61;30182.86;27.6428;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
16;MET00000016;20250101;1;2;;6;;2025;1;2025-01;MISTA;31049.58;29074.5;1886.6645;2323.1125;15.41;6247.88;21.4892;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
17;MET00000017;20250101;1;2;;7;;2025;1;2025-01;MISTA;143325.6;130095.22;722.1371;1620.9673;180.15;45942.55;35.3146;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
18;MET00000018;20250101;1;2;;8;;2025;1;2025-01;MISTA;127606.7;122184.68;1621.3993;2173.089;75.36;36713.93;30.0479;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
19;MET00000019;20250101;1;2;;9;;2025;1;2025-01;MISTA;127966.85;118141.14;1980.7106;4679.6688;59.65;42623.5;36.0785;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
20;MET00000020;20250101;1;2;;10;;2025;1;2025-01;MISTA;63370.78;57316.91;2685.635;6749.3812;21.34;17024.42;29.7023;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
21;MET00000021;20250101;1;3;;1;;2025;1;2025-01;MISTA;60898.61;58863.57;927.1569;1270.7846;63.49;11942.26;20.288;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
22;MET00000022;20250101;1;3;;2;;2025;1;2025-01;MISTA;60752.77;58679.61;2520.6575;3460.0679;23.28;13016.69;22.1826;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
23;MET00000023;20250101;1;3;;3;;2025;1;2025-01;MISTA;25955.27;22964.31;2413.6044;3749.0847;9.51;7088.23;30.8663;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
24;MET00000024;20250101;1;3;;4;;2025;1;2025-01;MISTA;169310.04;154357.51;530.047;1279.8341;291.21;54430.81;35.2628;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
25;MET00000025;20250101;1;3;;5;;2025;1;2025-01;MISTA;69783.26;62027.68;2590.5018;6140.6688;23.94;15068.99;24.294;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
26;MET00000026;20250101;1;3;;6;;2025;1;2025-01;MISTA;129133.38;120930.3;1953.9362;5150.2341;61.89;25070.41;20.7313;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
27;MET00000027;20250101;1;3;;7;;2025;1;2025-01;MISTA;61346.58;55997.3;3402.5787;6147.2654;16.46;12593.65;22.4897;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
28;MET00000028;20250101;1;3;;8;;2025;1;2025-01;MISTA;52788.31;47654.74;1816.0262;4766.5139;26.24;16323.08;34.2528;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
29;MET00000029;20250101;1;3;;9;;2025;1;2025-01;MISTA;152378.83;143196.95;1301.8363;3476.5602;110.0;42842.11;29.9183;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
30;MET00000030;20250101;1;3;;10;;2025;1;2025-01;MISTA;80111.23;71500.19;2684.2944;4207.5946;26.64;14964.79;20.9297;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
31;MET00000031;20250101;1;4;;1;;2025;1;2025-01;MISTA;80872.97;77120.41;1496.4388;3020.6368;51.54;29142.26;37.788;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
32;MET00000032;20250101;1;4;;2;;2025;1;2025-01;MISTA;147633.99;137919.09;2745.162;6445.054;50.24;45438.71;32.9459;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
33;MET00000033;20250101;1;4;;3;;2025;1;2025-01;MISTA;58593.39;53625.2;3349.7884;5173.0164;16.01;16247.92;30.299;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
34;MET00000034;20250101;1;4;;4;;2025;1;2025-01;MISTA;79593.02;70145.47;1033.1836;2307.0366;67.89;15066.51;21.4789;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
35;MET00000035;20250101;1;4;;5;;2025;1;2025-01;MISTA;146302.78;139802.79;3122.2482;7411.6346;44.78;45186.33;32.3215;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
36;MET00000036;20250101;1;4;;6;;2025;1;2025-01;MISTA;44360.04;39297.9;3273.7172;6538.5048;12.0;7605.29;19.3529;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
37;MET00000037;20250101;1;4;;7;;2025;1;2025-01;MISTA;123638.08;113199.6;1889.3809;4145.676;59.91;42078.88;37.1723;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
38;MET00000038;20250101;1;4;;8;;2025;1;2025-01;MISTA;119367.03;114757.3;3361.9177;6770.3801;34.13;39333.75;34.2756;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
39;MET00000039;20250101;1;4;;9;;2025;1;2025-01;MISTA;44567.7;41251.65;1780.6806;3952.3116;23.17;8880.14;21.5268;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
40;MET00000040;20250101;1;4;;10;;2025;1;2025-01;MISTA;179798.26;160049.67;2413.4685;6552.5317;66.32;41492.38;25.9247;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
41;MET00000041;20250101;1;5;;1;;2025;1;2025-01;MISTA;74208.86;67377.55;2199.3848;3409.9076;30.63;14129.26;20.9703;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
42;MET00000042;20250101;1;5;;2;;2025;1;2025-01;MISTA;117286.35;113317.08;528.4286;1355.5946;214.44;36792.79;32.4689;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
43;MET00000043;20250101;1;5;;3;;2025;1;2025-01;MISTA;92807.25;88335.83;694.3027;1438.5756;127.23;33366.53;37.7724;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
44;MET00000044;20250101;1;5;;4;;2025;1;2025-01;MISTA;73905.06;66737.19;1508.3446;2876.2725;44.25;16259.33;24.3632;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
45;MET00000045;20250101;1;5;;5;;2025;1;2025-01;MISTA;44724.24;40989.39;1857.5592;3671.8771;22.07;8986.22;21.9233;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
46;MET00000046;20250101;1;5;;6;;2025;1;2025-01;MISTA;167032.73;147142.8;2245.5407;4781.7826;65.53;49250.57;33.4713;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
47;MET00000047;20250101;1;5;;7;;2025;1;2025-01;MISTA;86502.93;80877.01;1876.2187;2901.982;43.11;17784.02;21.989;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
48;MET00000048;20250101;1;5;;8;;2025;1;2025-01;MISTA;69770.17;67215.49;2318.7214;6047.747;28.99;16523.02;24.5822;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
49;MET00000049;20250101;1;5;;9;;2025;1;2025-01;MISTA;91753.89;81870.4;595.7087;845.8336;137.43;18806.64;22.9712;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
50;MET00000050;20250101;1;5;;10;;2025;1;2025-01;MISTA;48497.42;43070.24;2715.6791;3935.6602;15.86;12605.51;29.2673;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
51;MET00000051;20250101;2;1;;1;;2025;1;2025-01;MISTA;87173.42;82468.63;976.1701;2637.1055;84.48;27299.12;33.1024;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
52;MET00000052;20250101;2;1;;2;;2025;1;2025-01;MISTA;150660.69;145585.07;1506.403;1982.5058;96.64;43278.03;29.727;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
53;MET00000053;20250101;2;1;;3;;2025;1;2025-01;MISTA;142556.35;134229.26;2521.9283;3178.0523;53.22;31609.98;23.5492;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
54;MET00000054;20250101;2;1;;4;;2025;1;2025-01;MISTA;106664.23;95415.76;510.9836;756.897;186.73;35876.76;37.6005;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
55;MET00000055;20250101;2;1;;5;;2025;1;2025-01;MISTA;84723.27;81754.02;953.4636;1599.0671;85.74;26499.28;32.4134;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
56;MET00000056;20250101;2;1;;6;;2025;1;2025-01;MISTA;25571.08;23326.05;1045.7323;2920.9224;22.31;5601.71;24.0148;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
57;MET00000057;20250101;2;1;;7;;2025;1;2025-01;MISTA;111650.69;104077.73;800.7616;1284.2404;129.97;22110.73;21.2444;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
58;MET00000058;20250101;2;1;;8;;2025;1;2025-01;MISTA;62891.36;59528.5;1256.2702;1886.2375;47.39;22045.73;37.0339;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
59;MET00000059;20250101;2;1;;9;;2025;1;2025-01;MISTA;114140.28;109735.12;3213.463;5332.6246;34.15;41106.39;37.4596;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
60;MET00000060;20250101;2;1;;10;;2025;1;2025-01;MISTA;59563.25;53243.69;2379.6308;5467.4759;22.37;10123.49;19.0135;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
61;MET00000061;20250101;2;2;;1;;2025;1;2025-01;MISTA;33173.02;31634.4;816.9444;1915.6092;38.72;9729.52;30.7561;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
62;MET00000062;20250101;2;2;;2;;2025;1;2025-01;MISTA;34278.55;31630.14;2939.2622;3814.1835;10.76;10349.45;32.7202;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
63;MET00000063;20250101;2;2;;3;;2025;1;2025-01;MISTA;99342.33;89843.21;3340.8329;7868.4421;26.89;22519.92;25.0658;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
64;MET00000064;20250101;2;2;;4;;2025;1;2025-01;MISTA;170003.72;161289.76;3269.5026;8793.3095;49.33;49155.7;30.4766;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
65;MET00000065;20250101;2;2;;5;;2025;1;2025-01;MISTA;55528.3;53443.89;1361.4321;2983.0635;39.26;20116.0;37.6395;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
66;MET00000066;20250101;2;2;;6;;2025;1;2025-01;MISTA;33610.03;31608.62;1729.6573;2459.9268;18.27;11120.22;35.181;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
67;MET00000067;20250101;2;2;;7;;2025;1;2025-01;MISTA;171358.19;155234.97;1273.6611;2051.7712;121.88;48870.09;31.4814;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
68;MET00000068;20250101;2;2;;8;;2025;1;2025-01;MISTA;79101.11;71090.16;1782.5302;4162.206;39.88;26833.74;37.7461;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
69;MET00000069;20250101;2;2;;9;;2025;1;2025-01;MISTA;48804.97;43659.75;1193.9403;3125.2441;36.57;15794.97;36.1774;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
70;MET00000070;20250101;2;2;;10;;2025;1;2025-01;MISTA;145491.84;140364.11;3013.2738;7317.9015;46.58;39631.21;28.2346;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
71;MET00000071;20250101;2;3;;1;;2025;1;2025-01;MISTA;63276.6;56819.93;1463.0044;2980.7064;38.84;19473.29;34.2719;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
72;MET00000072;20250101;2;3;;2;;2025;1;2025-01;MISTA;167602.96;155950.48;1526.3686;2442.0573;102.17;44461.19;28.5098;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
73;MET00000073;20250101;2;3;;3;;2025;1;2025-01;MISTA;150429.55;135823.15;1681.9589;4379.0662;80.75;30923.69;22.7676;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
74;MET00000074;20250101;2;3;;4;;2025;1;2025-01;MISTA;145887.72;130135.85;3258.3181;8743.7247;39.94;27796.45;21.3596;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
75;MET00000075;20250101;2;3;;5;;2025;1;2025-01;MISTA;102158.0;96235.73;3331.2172;4673.1535;28.89;28538.89;29.6552;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
76;MET00000076;20250101;2;3;;6;;2025;1;2025-01;MISTA;155296.02;142977.3;2622.9877;6026.3024;54.51;48372.78;33.8325;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
77;MET00000077;20250101;2;3;;7;;2025;1;2025-01;MISTA;122239.46;112619.88;804.1485;1754.1386;140.05;27973.33;24.8387;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
78;MET00000078;20250101;2;3;;8;;2025;1;2025-01;MISTA;72551.48;68078.11;1447.6477;2746.206;47.03;23507.35;34.53;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
79;MET00000079;20250101;2;3;;9;;2025;1;2025-01;MISTA;40418.22;37730.5;1780.7912;2542.8386;21.19;13231.4;35.0682;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
80;MET00000080;20250101;2;3;;10;;2025;1;2025-01;MISTA;141598.61;126493.32;1040.2701;1535.3163;121.6;41774.75;33.0253;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
81;MET00000081;20250101;2;4;;1;;2025;1;2025-01;MISTA;57295.13;51496.67;1687.308;2193.8701;30.52;10016.54;19.4508;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
82;MET00000082;20250101;2;4;;2;;2025;1;2025-01;MISTA;152711.64;138393.84;3136.6555;3800.4318;44.12;29824.14;21.5502;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
83;MET00000083;20250101;2;4;;3;;2025;1;2025-01;MISTA;141268.67;126814.96;2840.8379;7262.2334;44.64;45611.94;35.9673;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
84;MET00000084;20250101;2;4;;4;;2025;1;2025-01;MISTA;48039.01;44436.73;3237.6714;5046.5067;13.72;9041.75;20.3475;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
85;MET00000085;20250101;2;4;;5;;2025;1;2025-01;MISTA;138611.49;130879.1;1971.0328;2690.5347;66.4;38586.58;29.4826;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
86;MET00000086;20250101;2;4;;6;;2025;1;2025-01;MISTA;142269.48;136407.99;2252.8299;3202.2559;60.55;25724.25;18.8583;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
87;MET00000087;20250101;2;4;;7;;2025;1;2025-01;MISTA;63694.43;58233.75;3096.9612;4932.2955;18.8;18122.45;31.1202;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
88;MET00000088;20250101;2;4;;8;;2025;1;2025-01;MISTA;47730.8;44329.4;2606.9196;6002.8143;17.0;8284.07;18.6875;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
89;MET00000089;20250101;2;4;;9;;2025;1;2025-01;MISTA;67876.09;61586.93;2103.4195;3868.9967;29.28;16768.65;27.2276;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
90;MET00000090;20250101;2;4;;10;;2025;1;2025-01;MISTA;76943.64;72869.0;3192.7898;5416.7424;22.82;13281.12;18.226;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
91;MET00000091;20250101;2;5;;1;;2025;1;2025-01;MISTA;60299.33;57805.09;3474.9107;9670.6171;16.63;20786.02;35.9588;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
92;MET00000092;20250101;2;5;;2;;2025;1;2025-01;MISTA;68398.52;63677.73;2656.9551;5000.674;23.97;23689.16;37.2016;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
93;MET00000093;20250101;2;5;;3;;2025;1;2025-01;MISTA;163780.97;150471.85;908.3093;1727.2981;165.66;32841.02;21.8254;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
94;MET00000094;20250101;2;5;;4;;2025;1;2025-01;MISTA;66514.63;64254.51;1362.9184;2021.4787;47.14;11620.76;18.0855;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
95;MET00000095;20250101;2;5;;5;;2025;1;2025-01;MISTA;171587.74;162073.97;893.4021;1572.6648;181.41;42473.06;26.206;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
96;MET00000096;20250101;2;5;;6;;2025;1;2025-01;MISTA;159338.78;152572.38;2846.9033;6628.4059;53.59;37851.59;24.8089;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
97;MET00000097;20250101;2;5;;7;;2025;1;2025-01;MISTA;77924.93;74141.28;504.8655;832.3424;146.85;19786.76;26.6879;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
98;MET00000098;20250101;2;5;;8;;2025;1;2025-01;MISTA;83952.93;78955.02;2035.7849;5389.3278;38.78;29925.0;37.9013;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
99;MET00000099;20250101;2;5;;9;;2025;1;2025-01;MISTA;130963.81;126423.1;1603.5907;3244.7503;78.84;44624.12;35.2974;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
100;MET00000100;20250101;2;5;;10;;2025;1;2025-01;MISTA;155789.21;138794.16;1906.7249;2889.0328;72.79;32639.28;23.5163;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
101;MET00000101;20250101;3;1;;1;;2025;1;2025-01;MISTA;115528.57;105068.33;3305.9087;4877.3168;31.78;28876.03;27.4831;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
102;MET00000102;20250101;3;1;;2;;2025;1;2025-01;MISTA;159924.96;146199.49;2889.8773;6294.6927;50.59;42532.61;29.0922;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
103;MET00000103;20250101;3;1;;3;;2025;1;2025-01;MISTA;125081.6;120005.59;972.6832;2095.2045;123.38;23170.72;19.308;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
104;MET00000104;20250101;3;1;;4;;2025;1;2025-01;MISTA;77899.41;71405.29;1020.0222;1753.9815;70.0;18767.27;26.2827;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
105;MET00000105;20250101;3;1;;5;;2025;1;2025-01;MISTA;116312.51;107503.28;558.2358;1334.025;192.58;32426.86;30.1636;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
106;MET00000106;20250101;3;1;;6;;2025;1;2025-01;MISTA;99768.3;89524.23;2546.5718;7040.2504;35.15;20161.48;22.5207;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
107;MET00000107;20250101;3;1;;7;;2025;1;2025-01;MISTA;70694.95;65676.65;680.0146;969.0855;96.58;19369.45;29.4921;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
108;MET00000108;20250101;3;1;;8;;2025;1;2025-01;MISTA;101439.9;93373.6;1757.2163;3396.0447;53.14;33703.82;36.0957;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
109;MET00000109;20250101;3;1;;9;;2025;1;2025-01;MISTA;133059.26;125305.05;2969.928;7669.941;42.19;37333.08;29.7938;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
110;MET00000110;20250101;3;1;;10;;2025;1;2025-01;MISTA;97408.23;92615.09;3128.9481;3875.3443;29.6;18994.27;20.5088;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
111;MET00000111;20250101;3;2;;1;;2025;1;2025-01;MISTA;153894.38;148733.94;647.6629;1697.2898;229.65;40416.84;27.1739;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
112;MET00000112;20250101;3;2;;2;;2025;1;2025-01;MISTA;132276.15;122794.28;3063.0202;4474.3119;40.09;30475.96;24.8187;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
113;MET00000113;20250101;3;2;;3;;2025;1;2025-01;MISTA;66571.23;61516.99;820.2942;1180.7914;74.99;23021.71;37.4233;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
114;MET00000114;20250101;3;2;;4;;2025;1;2025-01;MISTA;47853.53;45790.16;1854.2098;4461.5292;24.7;15380.65;33.5894;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
115;MET00000115;20250101;3;2;;5;;2025;1;2025-01;MISTA;70241.83;63065.24;3344.2505;6410.9901;18.86;21759.07;34.5025;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
116;MET00000116;20250101;3;2;;6;;2025;1;2025-01;MISTA;111901.03;99342.13;992.127;1785.5114;100.13;27127.59;27.3072;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
117;MET00000117;20250101;3;2;;7;;2025;1;2025-01;MISTA;134126.18;127525.82;3043.4138;8464.4031;41.9;35732.32;28.0197;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
118;MET00000118;20250101;3;2;;8;;2025;1;2025-01;MISTA;42404.84;40319.54;883.8203;1610.5384;45.62;7288.6;18.0771;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
119;MET00000119;20250101;3;2;;9;;2025;1;2025-01;MISTA;133139.69;125310.25;3174.9978;6883.3645;39.47;40645.1;32.4356;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
120;MET00000120;20250101;3;2;;10;;2025;1;2025-01;MISTA;91657.97;88632.38;1843.6264;4896.5376;48.08;16381.98;18.4831;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
121;MET00000121;20250101;3;3;;1;;2025;1;2025-01;MISTA;38582.75;37089.87;3251.3765;6946.464;11.41;8341.04;22.4887;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
122;MET00000122;20250101;3;3;;2;;2025;1;2025-01;MISTA;132373.83;123155.31;3191.7997;5543.8265;38.58;41340.17;33.5675;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
123;MET00000123;20250101;3;3;;3;;2025;1;2025-01;MISTA;41388.41;39263.02;3380.164;5865.4346;11.62;14119.64;35.9617;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
124;MET00000124;20250101;3;3;;4;;2025;1;2025-01;MISTA;94598.35;90793.4;3176.3097;6604.2943;28.58;27229.32;29.9904;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
125;MET00000125;20250101;3;3;;5;;2025;1;2025-01;MISTA;139532.26;123936.62;3349.6286;6346.8036;37.0;34450.8;27.7971;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
126;MET00000126;20250101;3;3;;6;;2025;1;2025-01;MISTA;116220.29;105315.02;3442.7942;6360.3667;30.59;29431.36;27.946;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
127;MET00000127;20250101;3;3;;7;;2025;1;2025-01;MISTA;70539.35;68087.95;2409.9182;4091.5874;28.25;20363.25;29.9073;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
128;MET00000128;20250101;3;3;;8;;2025;1;2025-01;MISTA;94415.87;91058.21;1461.7455;3754.7766;62.29;18807.39;20.6542;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
129;MET00000129;20250101;3;3;;9;;2025;1;2025-01;MISTA;39772.35;37818.47;1870.8466;4225.9403;20.21;10314.61;27.274;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
130;MET00000130;20250101;3;3;;10;;2025;1;2025-01;MISTA;74337.42;71638.99;2785.6556;4490.2448;25.72;13310.59;18.5801;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
131;MET00000131;20250101;3;4;;1;;2025;1;2025-01;MISTA;51581.12;48444.24;600.9724;829.195;80.61;12940.79;26.7128;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
132;MET00000132;20250101;3;4;;2;;2025;1;2025-01;MISTA;79442.26;71331.29;1378.2516;3608.7961;51.75;13137.44;18.4175;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
133;MET00000133;20250101;3;4;;3;;2025;1;2025-01;MISTA;61638.74;58595.04;2913.6807;5500.4724;20.11;15740.85;26.8638;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
134;MET00000134;20250101;3;4;;4;;2025;1;2025-01;MISTA;27924.9;26153.91;2972.0952;4710.1957;8.8;6085.92;23.2696;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
