SK_FATO_RUPTURA;ID_RUPTURA_ORIGEM;SK_TEMPO;SK_PRODUTO;SK_LOJA;SK_MOTIVO_RUPTURA;QTD_ESTOQUE_ESPERADO;QTD_ESTOQUE_DISPONIVEL;QTD_RUPTURA;DIAS_RUPTURA;VALOR_VENDA_PERDIDA;FL_RUPTURA;DATA_CARGA;DATA_ATUALIZACAO_DW
170;RUP00000170;20251126;30;5;6;15;0;15;1.91;623.79;S;2026-07-01 10:00:00;
171;RUP00000171;20251023;61;11;8;22;0;22;6.53;4158.05;S;2026-07-01 10:00:00;
172;RUP00000172;20251125;27;4;5;26;0;26;2.93;2050.51;S;2026-07-01 10:00:00;
173;RUP00000173;20251209;56;6;4;39;0;39;6.15;4304.18;S;2026-07-01 10:00:00;
174;RUP00000174;20251115;100;3;7;11;0;11;4.01;336.58;S;2026-07-01 10:00:00;
175;RUP00000175;20251121;13;9;5;45;0;45;4.32;709.64;S;2026-07-01 10:00:00;
176;RUP00000176;20251008;81;7;3;41;0;41;3.83;3631.28;S;2026-07-01 10:00:00;
177;RUP00000177;20251109;95;10;6;19;0;19;2.74;2196.94;S;2026-07-01 10:00:00;
178;RUP00000178;20251017;55;9;2;45;0;45;3.76;3942.36;S;2026-07-01 10:00:00;
179;RUP00000179;20251220;94;3;4;36;0;36;2.74;2061.4;S;2026-07-01 10:00:00;
180;RUP00000180;20251007;110;12;6;25;0;25;4.11;382.51;S;2026-07-01 10:00:00;
181;RUP00000181;20251023;57;6;6;28;0;28;2.05;2390.49;S;2026-07-01 10:00:00;
182;RUP00000182;20251007;112;8;8;19;0;19;4.28;864.23;S;2026-07-01 10:00:00;
183;RUP00000183;20251005;85;11;7;29;0;29;6.48;2476.21;S;2026-07-01 10:00:00;
184;RUP00000184;20251213;2;10;1;11;0;11;3.03;808.28;S;2026-07-01 10:00:00;
185;RUP00000185;20251127;115;6;3;17;0;17;3.96;2116.36;S;2026-07-01 10:00:00;
186;RUP00000186;20251105;52;7;7;28;0;28;3.8;1175.05;S;2026-07-01 10:00:00;
187;RUP00000187;20251018;61;5;1;31;0;31;2.05;4319.46;S;2026-07-01 10:00:00;
188;RUP00000188;20251208;58;5;3;38;0;38;2.99;2262.33;S;2026-07-01 10:00:00;
189;RUP00000189;20251229;6;7;6;21;0;21;3.03;2105.66;S;2026-07-01 10:00:00;
190;RUP00000190;20251026;98;1;1;38;0;38;5.43;1227.64;S;2026-07-01 10:00:00;
191;RUP00000191;20251110;107;5;4;11;0;11;5.91;329.2;S;2026-07-01 10:00:00;
192;RUP00000192;20251118;33;7;2;34;0;34;4.51;562.2;S;2026-07-01 10:00:00;
193;RUP00000193;20251005;1;7;1;40;0;40;5.0;2300.24;S;2026-07-01 10:00:00;
194;RUP00000194;20251117;107;2;6;31;0;31;4.72;969.78;S;2026-07-01 10:00:00;
195;RUP00000195;20251103;97;3;3;16;0;16;5.37;199.14;S;2026-07-01 10:00:00;
196;RUP00000196;20251028;9;2;2;18;0;18;1.82;1127.01;S;2026-07-01 10:00:00;
197;RUP00000197;20251018;55;3;3;19;0;19;5.12;1539.11;S;2026-07-01 10:00:00;
198;RUP00000198;20251229;80;7;4;24;0;24;4.4;2432.95;S;2026-07-01 10:00:00;
199;RUP00000199;20251024;18;2;6;13;0;13;2.71;539.06;S;2026-07-01 10:00:00;
200;RUP00000200;20251030;2;11;5;21;0;21;3.63;1900.04;S;2026-07-01 10:00:00;
201;RUP00000201;20251119;29;7;8;26;0;26;5.71;928.8;S;2026-07-01 10:00:00;
202;RUP00000202;20251003;34;4;8;40;0;40;5.65;1022.31;S;2026-07-01 10:00:00;
203;RUP00000203;20251114;76;9;6;44;0;44;5.48;4754.32;S;2026-07-01 10:00:00;
204;RUP00000204;20251016;87;11;8;23;0;23;5.27;2310.1;S;2026-07-01 10:00:00;
205;RUP00000205;20251231;96;11;6;26;0;26;3.03;1245.0;S;2026-07-01 10:00:00;
206;RUP00000206;20251016;102;6;5;24;0;24;5.65;1575.86;S;2026-07-01 10:00:00;
207;RUP00000207;20251025;40;5;2;26;0;26;4.93;1111.23;S;2026-07-01 10:00:00;
208;RUP00000208;20251207;12;6;4;29;0;29;5.57;168.16;S;2026-07-01 10:00:00;
209;RUP00000209;20251107;90;2;4;31;0;31;3.66;969.47;S;2026-07-01 10:00:00;
210;RUP00000210;20251206;27;4;5;38;0;38;1.06;2707.59;S;2026-07-01 10:00:00;
211;RUP00000211;20251025;107;3;4;15;0;15;2.95;689.14;S;2026-07-01 10:00:00;
212;RUP00000212;20251016;66;4;7;28;0;28;2.13;2539.42;S;2026-07-01 10:00:00;
213;RUP00000213;20251208;88;1;1;36;0;36;4.32;4043.23;S;2026-07-01 10:00:00;
214;RUP00000214;20251121;81;8;8;40;0;40;5.41;5235.96;S;2026-07-01 10:00:00;
215;RUP00000215;20251030;3;2;1;15;0;15;6.85;784.77;S;2026-07-01 10:00:00;
216;RUP00000216;20251230;47;11;1;23;0;23;3.07;3268.07;S;2026-07-01 10:00:00;
217;RUP00000217;20251212;62;4;6;24;0;24;4.37;2585.08;S;2026-07-01 10:00:00;
218;RUP00000218;20251130;75;2;7;30;0;30;2.33;3624.62;S;2026-07-01 10:00:00;
219;RUP00000219;20251009;111;12;6;28;0;28;6.46;2171.98;S;2026-07-01 10:00:00;
220;RUP00000220;20251226;44;6;8;34;0;34;1.27;1109.69;S;2026-07-01 10:00:00;
221;RUP00000221;20251031;76;5;8;23;0;23;6.81;2535.01;S;2026-07-01 10:00:00;
222;RUP00000222;20251209;57;12;5;25;0;25;1.79;1585.54;S;2026-07-01 10:00:00;
223;RUP00000223;20251112;116;8;1;40;0;40;5.99;2219.55;S;2026-07-01 10:00:00;
224;RUP00000224;20251011;74;3;2;16;0;16;6.07;454.3;S;2026-07-01 10:00:00;
225;RUP00000225;20251021;5;6;4;39;0;39;3.21;1485.34;S;2026-07-01 10:00:00;
226;RUP00000226;20251124;100;9;6;16;0;16;2.21;600.8;S;2026-07-01 10:00:00;
227;RUP00000227;20251004;58;5;3;11;0;11;1.25;396.26;S;2026-07-01 10:00:00;
228;RUP00000228;20251230;86;7;3;24;0;24;4.65;1171.71;S;2026-07-01 10:00:00;
229;RUP00000229;20251128;73;1;1;25;0;25;2.17;1038.84;S;2026-07-01 10:00:00;
230;RUP00000230;20251204;74;12;6;32;0;32;6.66;1088.71;S;2026-07-01 10:00:00;
231;RUP00000231;20251005;16;4;2;11;0;11;4.81;663.97;S;2026-07-01 10:00:00;
232;RUP00000232;20251211;96;6;7;37;0;37;6.68;1737.16;S;2026-07-01 10:00:00;
233;RUP00000233;20251007;11;11;2;44;0;44;2.31;3291.15;S;2026-07-01 10:00:00;
234;RUP00000234;20251027;46;1;7;22;0;22;6.3;2789.69;S;2026-07-01 10:00:00;
235;RUP00000235;20251108;92;6;6;33;0;33;6.7;122.48;S;2026-07-01 10:00:00;
236;RUP00000236;20251120;82;6;6;35;0;35;6.27;411.83;S;2026-07-01 10:00:00;
237;RUP00000237;20251103;103;10;3;33;0;33;5.12;2862.38;S;2026-07-01 10:00:00;
238;RUP00000238;20251005;16;11;6;18;0;18;3.72;1394.97;S;2026-07-01 10:00:00;
239;RUP00000239;20251213;65;6;1;36;0;36;5.5;1580.57;S;2026-07-01 10:00:00;
240;RUP00000240;20251127;99;10;4;13;0;13;6.89;1821.08;S;2026-07-01 10:00:00;
241;RUP00000241;20251212;39;3;8;28;0;28;3.25;1854.65;S;2026-07-01 10:00:00;
242;RUP00000242;20251213;45;8;3;42;0;42;6.15;1553.92;S;2026-07-01 10:00:00;
243;RUP00000243;20251120;88;12;5;24;0;24;6.07;1897.68;S;2026-07-01 10:00:00;
244;RUP00000244;20251108;34;5;6;45;0;45;5.96;940.44;S;2026-07-01 10:00:00;
245;RUP00000245;20251212;52;3;2;15;0;15;6.94;524.36;S;2026-07-01 10:00:00;
246;RUP00000246;20251024;70;2;1;22;0;22;6.8;2004.57;S;2026-07-01 10:00:00;
247;RUP00000247;20251210;95;9;5;13;0;13;6.84;2155.71;S;2026-07-01 10:00:00;
248;RUP00000248;20251117;19;12;5;45;0;45;5.54;4085.81;S;2026-07-01 10:00:00;
249;RUP00000249;20251110;106;10;6;17;0;17;1.57;1729.84;S;2026-07-01 10:00:00;
250;RUP00000250;20251116;110;11;8;37;0;37;3.76;440.16;S;2026-07-01 10:00:00;
251;RUP00000251;20251227;68;2;3;28;0;28;5.74;343.37;S;2026-07-01 10:00:00;
252;RUP00000252;20251213;12;9;4;28;0;28;1.43;156.32;S;2026-07-01 10:00:00;
253;RUP00000253;20251007;10;2;5;16;0;16;1.96;1292.76;S;2026-07-01 10:00:00;
254;RUP00000254;20251210;38;8;7;25;0;25;5.08;1522.25;S;2026-07-01 10:00:00;
255;RUP00000255;20251213;27;1;5;24;0;24;5.57;1555.74;S;2026-07-01 10:00:00;
256;RUP00000256;20251024;82;7;5;29;0;29;2.52;369.31;S;2026-07-01 10:00:00;
257;RUP00000257;20251114;43;4;5;32;0;32;4.12;4097.0;S;2026-07-01 10:00:00;
258;RUP00000258;20251127;27;3;1;13;0;13;2.67;787.58;S;2026-07-01 10:00:00;
259;RUP00000259;20251104;5;8;7;34;0;34;6.38;1026.78;S;2026-07-01 10:00:00;
260;RUP00000260;20251018;105;4;4;21;0;21;5.18;3074.27;S;2026-07-01 10:00:00;
261;RUP00000261;20251218;19;2;3;37;0;37;3.57;3140.1;S;2026-07-01 10:00:00;
262;RUP00000262;20251021;114;5;4;39;0;39;1.87;2038.15;S;2026-07-01 10:00:00;
263;RUP00000263;20251222;110;7;6;45;0;45;3.74;695.36;S;2026-07-01 10:00:00;
264;RUP00000264;20251010;112;5;7;41;0;41;6.09;3354.84;S;2026-07-01 10:00:00;
265;RUP00000265;20251208;7;8;7;28;0;28;1.83;1164.11;S;2026-07-01 10:00:00;
266;RUP00000266;20251201;74;4;5;17;0;17;2.7;578.9;S;2026-07-01 10:00:00;
267;RUP00000267;20251014;44;8;4;35;0;35;4.8;1255.02;S;2026-07-01 10:00:00;
268;RUP00000268;20251010;40;5;5;40;0;40;4.73;1851.48;S;2026-07-01 10:00:00;
269;RUP00000269;20251010;92;7;2;30;0;30;2.62;93.85;S;2026-07-01 10:00:00;
270;RUP00000270;20251108;42;6;5;38;0;38;5.28;2779.79;S;2026-07-01 10:00:00;
271;RUP00000271;20251202;64;3;7;21;0;21;3.91;1873.77;S;2026-07-01 10:00:00;
272;RUP00000272;20251111;87;1;2;22;0;22;1.88;3517.19;S;2026-07-01 10:00:00;
273;RUP00000273;20251127;106;10;5;10;0;10;1.75;873.58;S;2026-07-01 10:00:00;
274;RUP00000274;20251124;75;3;1;44;0;44;4.09;4359.71;S;2026-07-01 10:00:00;
